"Longitude";"Latitude";"Parameter.Name";"Arithmetic.Mean";"City.Name"
-87,881412;30,498001;"Ozone";0,044381;"Fairhope"
-87,881412;30,498001;"PM2.5 - Local Conditions";8,383784;"Fairhope"
-85,802182;33,281261;"PM2.5 - Local Conditions";8,045763;"Ashland"
-87,650562;34,758781;"Ozone";0,039033;"Muscle Shoals"
-87,650562;34,758781;"PM2.5 - Local Conditions";8,6175;"Muscle Shoals"
-85,968298;34,287627;"PM2.5 - Local Conditions";8,991736;"Crossville"
-86,136587;32,498567;"Ozone";0,038545;"Wetumpka"
-85,991072;33,993749;"PM2.5 - Local Conditions";9,230328;"Gadsden"
-86,053867;33,904039;"Ozone";0,038767;"Southside"
-85,390768;31,226359;"PM2.5 - Local Conditions";8,27;"Dothan"
-85,423117;31,190657;"Ozone";0,041975;"Dothan"
-86,815;33,553056;"Ozone";0,036508;"Birmingham"
-86,815;33,553056;"PM2.5 - Local Conditions";10,406612;"Birmingham"
-86,815;33,553056;"PM2.5 - Local Conditions";10,598333;"Birmingham"
-86,815;33,553056;"PM2.5 - Local Conditions";11,92392;"Birmingham"
-86,915;33,485556;"Ozone";0,040029;"Fairfield"
-86,549167;33,545278;"Ozone";0,039148;"Leeds"
-86,549167;33,545278;"PM2.5 - Local Conditions";10,206667;"Leeds"
-86,549167;33,545278;"PM2.5 - Local Conditions";10,089091;"Leeds"
-86,924167;33,499722;"PM2.5 - Local Conditions";9,863636;"Birmingham"
-86,924167;33,499722;"PM2.5 - Local Conditions";9,945161;"Birmingham"
-86,816667;33,386389;"Ozone";0,038588;"Hoover"
-86,773889;33,578333;"Ozone";0,041584;"Tarrant (corporate name for Tarrant City)"
-86,796389;33,565278;"PM2.5 - Local Conditions";11,503226;"Birmingham"
-86,58637;34,68767;"Ozone";0,044536;"Huntsville"
-86,58637;34,68767;"PM2.5 - Local Conditions";8,64;"Huntsville"
-86,756174;34,772727;"Ozone";0,043086;"Huntsville"
-88,087526;30,769941;"Ozone";0,041984;"Chickasaw"
-88,087526;30,769941;"PM2.5 - Local Conditions";8,287179;"Chickasaw"
-88,14114;30,474674;"Ozone";0,043615;"Theodore"
-86,256367;32,40712;"Ozone";0,039188;"Montgomery"
-86,256367;32,40712;"PM2.5 - Local Conditions";8,963025;"Montgomery"
-86,256367;32,40712;"PM2.5 - Local Conditions";9,337255;"Montgomery"
-86,976939;34,518735;"Ozone";0,041805;"Decatur"
-86,976939;34,518735;"PM2.5 - Local Conditions";8,551639;"Decatur"
-84,99911;32,476781;"PM2.5 - Local Conditions";9,968033;"Phenix City"
-84,99911;32,476781;"PM2.5 - Local Conditions";9,605932;"Phenix City"
-85,083841;32,467971;"Ozone";0,040061;"Ladonia"
-86,825092;33,317316;"Ozone";0,041286;"Helena"
-86,821104;33,312927;"PM2.5 - Local Conditions";8,989076;"Pelham"
-86,349438;33,279747;"PM2.5 - Local Conditions";9,172807;"Childersburg"
-87,484217;33,18935;"PM2.5 - Local Conditions";8,968696;"Tuscaloosa"
-87,459731;33,0896;"Ozone";0,037693;"Tuscaloosa"
-149,824602;61,205861;"PM2.5 - Local Conditions";4,968651;"Anchorage"
-149,569707;61,3267;"PM2.5 - Local Conditions";4,551969;"Anchorage"
-147,722461;64,840672;"PM2.5 - Local Conditions";10,457547;"Fairbanks"
-147,722461;64,840672;"PM2.5 - Local Conditions";11,520536;"Fairbanks"
-147,722461;64,840672;"PM2.5 - Local Conditions";11,520536;"Fairbanks"
-147,722461;64,840672;"PM2.5 - Local Conditions";14,710526;"Fairbanks"
